"gene"	"KO"
"17_GL0076901"	"K00169"
"17_GL0078233"	"K00170"
"17_GL0079502"	"K01962;K01963"
"17_GL0081979"	"K00625"
"17_GL0083529"	"K00656"
"17_GL0084289"	"K00169"
"17_GL0085023"	"K01692"
"17_GL0086031"	"K00625"
"17_GL0087338"	"K00170"
"17_GL0087592"	"K09788"
"17_GL0087593"	"K03417"
"17_GL0088081"	"K00086"
"17_GL0093165"	"K00925"
"17_GL0093166"	"K00625"
"17_GL0094910"	"K00382"
"17_GL0096289"	"K00169"
"17_GL0098418"	"K00016"
"17_GL0098911"	"K00248"
"17_GL0101607"	"K00140"
"17_GL0103358"	"K00656"
"17_GL0103742"	"K00016"
"17_GL0104594"	"K00248"
"17_GL0105521"	"K00656"
"17_GL0107411"	"K01692"
"17_GL0107945"	"K00656"
"17_GL0109329"	"K00656"
"17_GL0113239"	"K01692"
"17_GL0114231"	"K01966"
"17_GL0117166"	"K00656"
"17_GL0118487"	"K00248"
"17_GL0119563"	"K00656"
"17_GL0119879"	"K00382"
"17_GL0120423"	"K00656"
"17_GL0120888"	"K00626"
"17_GL0121097"	"K01734"
"17_GL0126524"	"K00656"
"17_GL0127284"	"K00382"
"17_GL0129481"	"K00169"
"17_GL0129483"	"K00172"
"17_GL0129944"	"K05606"
"17_GL0130295"	"K00382"
"17_GL0130868"	"K00625"
"17_GL0131562"	"K00248"
"17_GL0138066"	"K00382"
"17_GL0138205"	"K00382"
"17_GL0138638"	"K00625"
"17_GL0140042"	"K00016"
"17_GL0140176"	"K01692"
"17_GL0143114"	"K00171"
"17_GL0143226"	"K00656"
"17_GL0144374"	"K00248"
"17_GL0144417"	"K00625"
"17_GL0144459"	"K00382"
"17_GL0149027"	"K02160"
"17_GL0149468"	"K00925"
"17_GL0149621"	"K00925"
"17_GL0151132"	"K00656"
"17_GL0154425"	"K00656"
"17_GL0156461"	"K00248"
"17_GL0156952"	"K00656"
"17_GL0157552"	"K15024"
"17_GL0158296"	"K00656"
"17_GL0159915"	"K01734"
"18_GL0002026"	"K00626"
"18_GL0002485"	"K00656"
"18_GL0002487"	"K00656"
"18_GL0003070"	"K00170"
"18_GL0005211"	"K00656"
"18_GL0005964"	"K00656"
"18_GL0006681"	"K15024"
"18_GL0007760"	"K00086"
"18_GL0008490"	"K00925"
"18_GL0008491"	"K00625"
"18_GL0010851"	"K01692"
"18_GL0010852"	"K01692"
"18_GL0012616"	"K00656"
"18_GL0013946"	"K00925"
"18_GL0015138"	"K00656"
"18_GL0016387"	"K01895"
"18_GL0022498"	"K00382"
"18_GL0023036"	"K00925"
"18_GL0024082"	"K00656"
"18_GL0026104"	"K00170"
"18_GL0030658"	"K00625"
"18_GL0036623"	"K00248"
"18_GL0038257"	"K00626"
"18_GL0040990"	"K01734"
"18_GL0042979"	"K01734"
"18_GL0044227"	"K01962;K01963"
"18_GL0045689"	"K15024"
"18_GL0049614"	"K00925"
"18_GL0049809"	"K01847"
"18_GL0050088"	"K00656"
"18_GL0052104"	"K00625"
"18_GL0053597"	"K00170"
"18_GL0053598"	"K00169"
"18_GL0053599"	"K00171"
"18_GL0053600"	"K00172"
"18_GL0054130"	"K01961"
"18_GL0055820"	"K01962;K01963"
"18_GL0056573"	"K00016"
"18_GL0058894"	"K00172"
"18_GL0059436"	"K00656"
"18_GL0059547"	"K01699"
"18_GL0059548"	"K01699"
"18_GL0061186"	"K00925"
"18_GL0061187"	"K00925"
"18_GL0061848"	"K01966"
"18_GL0066044"	"K00656"
"18_GL0066049"	"K00656"
"18_GL0066370"	"K00656"
"18_GL0066916"	"K00169"
"18_GL0068142"	"K00656"
"18_GL0068711"	"K00248"
"18_GL0069445"	"K01692"
"18_GL0074158"	"K00048"
"18_GL0074829"	"K00626"
"18_GL0074957"	"K00170"
"18_GL0075388"	"K00656"
"18_GL0076533"	"K00925"
"18_GL0076743"	"K00925"
"18_GL0076791"	"K13922"
"18_GL0076880"	"K00382"
"18_GL0077381"	"K00382"
"18_GL0081355"	"K00656"
"18_GL0082458"	"K00925"
"18_GL0084083"	"K00248"
"18_GL0086874"	"K00172"
"18_GL0087623"	"K00016"
"18_GL0092746"	"K00656"
"18_GL0097342"	"K15024"
"18_GL0098422"	"K01902"
"18_GL0098431"	"K00656"
"18_GL0098499"	"K00656"
"18_GL0098502"	"K00656"
"18_GL0103344"	"K15024"
"18_GL0103935"	"K00016"
"18_GL0104582"	"K00016"
"18_GL0105876"	"K01962;K01963"
"18_GL0106111"	"K01966"
"18_GL0108161"	"K01962;K01963"
"18_GL0108869"	"K00169"
"18_GL0109847"	"K00656"
"18_GL0110355"	"K00016"
"18_GL0111567"	"K09788"
"18_GL0114669"	"K01966"
"18_GL0123104"	"K00170"
"18_GL0125883"	"K00656"
"18_GL0126388"	"K00925"
"18_GL0127873"	"K00925"
"18_GL0133064"	"K02160"
"18_GL0133456"	"K00382"
"18_GL0135660"	"K00086"
"18_GL0136369"	"K00248"
"18_GL0136542"	"K01966"
"18_GL0140351"	"K00382"
"18_GL0141264"	"K00656"
"18_GL0145800"	"K00656"
"18_GL0145849"	"K01034"
"18_GL0146995"	"K00170"
"18_GL0147293"	"K00248"
"18_GL0148580"	"K13920"
"18_GL0149934"	"K01905"
"18_GL0150739"	"K01734"
"18_GL0151327"	"K15024"
"18_GL0154814"	"K11381"
"18_GL0155114"	"K11263"
"18_GL0155869"	"K00925"
"18_GL0157008"	"K00169"
"18_GL0159805"	"K01962;K01963"
"18_GL0162201"	"K01734"
"18_GL0164337"	"K00170"
"18_GL0165754"	"K00925"
"18_GL0167518"	"K00016"
"18_GL0170874"	"K02160"
"18_GL0171254"	"K00626"
"18_GL0172905"	"K13922"
"18_GL0177264"	"K00656"
"19_GL0004788"	"K00248"
"19_GL0007496"	"K00656"
"19_GL0016940"	"K02160"
"19_GL0016941"	"K01961"
"19_GL0020941"	"K15024"
"19_GL0024705"	"K01692"
"19_GL0028443"	"K01966"
"19_GL0029273"	"K00626"
"19_GL0033697"	"K00656"
"19_GL0040712"	"K00925"
"19_GL0049161"	"K00656"
"19_GL0053375"	"K05606"
"19_GL0062768"	"K01026"
"19_GL0064025"	"K13922"
"19_GL0065841"	"K01902"
"19_GL0078622"	"K00170"
"19_GL0079020"	"K00626"
"19_GL0080537"	"K00248"
"19_GL0081374"	"K01966"
"19_GL0085152"	"K00925"
"2_GL0002360"	"K00382"
"2_GL0003799"	"K15024"
"2_GL0004711"	"K01895"
"2_GL0008236"	"K00248"
"2_GL0008490"	"K00382"
"2_GL0011508"	"K01961"
"2_GL0013281"	"K00048"
"2_GL0013787"	"K00625"
"2_GL0019649"	"K00625"
"2_GL0019907"	"K01895"
"2_GL0022653"	"K01966"
"2_GL0023859"	"K00016"
"2_GL0026465"	"K00048"
"2_GL0026717"	"K00005"
"2_GL0026720"	"K00005"
"2_GL0027910"	"K00048"
"2_GL0035828"	"K00925"
"2_GL0037762"	"K00016"
"2_GL0037779"	"K01692"
"2_GL0042679"	"K01962"
"2_GL0044083"	"K01966"
"2_GL0049961"	"K01966"
"2_GL0053465"	"K00925"
"2_GL0053688"	"K01966"
"2_GL0053749"	"K00248"
"2_GL0055316"	"K00656"
"2_GL0057561"	"K00170"
"2_GL0060357"	"K01962;K01963"
"2_GL0060634"	"K00656"
"2_GL0066402"	"K00656"
"2_GL0071321"	"K00925"
"2_GL0072190"	"K13922"
"2_GL0072695"	"K00656"
"2_GL0073695"	"K00625"
"2_GL0079331"	"K00172"
"2_GL0081534"	"K01961"
"2_GL0083233"	"K00016"
"2_GL0085167"	"K01895"
"2_GL0087713"	"K00169"
"2_GL0094069"	"K00172"
"2_GL0094854"	"K00925"
"2_GL0098552"	"K00656"
"2_GL0100215"	"K00625"
"2_GL0100216"	"K00925"
"2_GL0101734"	"K00248"
"2_GL0103328"	"K00005"
"2_GL0108632"	"K00656"
"2_GL0109967"	"K00170"
"2_GL0109968"	"K00169"
"2_GL0111341"	"K00656"
"2_GL0111795"	"K00656"
"2_GL0112637"	"K00005"
"2_GL0112732"	"K00625"
"2_GL0112733"	"K00625"
"2_GL0113950"	"K01962;K01963"
"2_GL0116080"	"K00925"
"2_GL0118838"	"K00925"
"2_GL0125604"	"K00656"
"2_GL0134598"	"K00170"
"2_GL0135569"	"K01734"
"2_GL0140132"	"K01895"
"2_GL0140514"	"K00625"
"2_GL0142265"	"K00086"
"2_GL0145276"	"K00925"
"2_GL0146488"	"K00016"
"20_GL0000968"	"K05606"
"20_GL0001821"	"K00656"
"20_GL0004108"	"K00048"
"20_GL0004794"	"K00656"
"20_GL0005506"	"K01895"
"20_GL0005525"	"K00656"
"20_GL0005909"	"K00169"
"20_GL0006867"	"K00170"
"20_GL0006868"	"K00169"
"20_GL0006869"	"K00171"
"20_GL0006870"	"K00172"
"20_GL0007431"	"K00248"
"20_GL0010111"	"K00170"
"20_GL0010659"	"K00925"
"20_GL0010821"	"K00248"
"20_GL0011026"	"K01734"
"20_GL0011415"	"K00248"
"20_GL0011974"	"K00005"
"20_GL0012420"	"K00382"
"20_GL0014029"	"K00625"
"20_GL0014906"	"K01966"
"20_GL0015533"	"K00625"
"20_GL0016842"	"K01847"
"20_GL0016843"	"K01847"
"20_GL0017739"	"K00382"
"20_GL0018068"	"K01961"
"20_GL0018239"	"K01734"
"20_GL0019667"	"K00656"
"20_GL0021299"	"K01734"
"20_GL0021345"	"K01734"
"20_GL0021392"	"K00016"
"20_GL0021439"	"K00625"
"20_GL0022207"	"K01692"
"20_GL0022212"	"K01699"
"20_GL0022676"	"K00086"
"20_GL0022774"	"K01966"
"20_GL0023940"	"K01962;K01963"
"20_GL0024012"	"K01847"
"20_GL0024977"	"K00925"
"20_GL0024978"	"K00625"
"20_GL0025431"	"K00248"
"20_GL0026692"	"K01966"
"20_GL0027109"	"K00382"
"20_GL0027403"	"K00925"
"20_GL0030704"	"K00171"
"20_GL0030705"	"K00169"
"20_GL0031647"	"K00016"
"20_GL0034879"	"K00169"
"20_GL0034901"	"K00016"
"20_GL0035204"	"K00656"
"20_GL0035956"	"K00048"
"20_GL0036312"	"K00656"
"20_GL0036880"	"K01962;K01963"
"20_GL0037880"	"K00170"
"20_GL0037881"	"K00169"
"20_GL0037908"	"K01966"
"20_GL0038771"	"K01734"
"20_GL0038879"	"K00626"
"20_GL0039334"	"K02160"
"20_GL0039468"	"K00626"
"20_GL0039475"	"K01895"
"20_GL0039916"	"K00171"
"20_GL0039917"	"K00169"
"20_GL0040218"	"K00925"
"20_GL0040299"	"K00016"
"20_GL0040633"	"K00248"
"20_GL0041389"	"K00625"
"20_GL0041446"	"K00016"
"20_GL0041574"	"K01961"
"20_GL0042263"	"K05606"
"20_GL0042264"	"K01966"
"20_GL0042708"	"K01847"
"20_GL0045134"	"K00656"
"20_GL0045706"	"K01963"
"20_GL0045707"	"K01961"
"20_GL0045988"	"K01734"
"20_GL0046921"	"K00248"
"20_GL0047414"	"K00925"
"20_GL0048345"	"K00382"
"20_GL0048910"	"K00656"
"20_GL0050663"	"K00048"
"20_GL0051167"	"K00625"
"20_GL0052220"	"K01961"
"20_GL0052332"	"K00382"
"20_GL0052346"	"K00382"
"20_GL0054234"	"K00005"
"20_GL0058854"	"K01895"
"20_GL0062483"	"K01966"
"20_GL0062920"	"K00169"
"20_GL0062921"	"K00171"
"20_GL0063678"	"K01692"
"20_GL0063899"	"K00248"
"20_GL0064740"	"K00016"
"20_GL0064811"	"K00172"
"20_GL0064981"	"K01734"
"20_GL0065465"	"K00248"
"20_GL0065969"	"K00925"
"20_GL0066371"	"K01734"
"20_GL0066430"	"K00171"
"20_GL0066447"	"K00625"
"20_GL0066448"	"K00925"
"20_GL0068432"	"K00656"
"20_GL0069000"	"K00086"
"20_GL0070740"	"K00248"
"20_GL0071513"	"K00248"
"20_GL0074491"	"K01962;K01963"
"20_GL0074626"	"K00626"
"20_GL0075489"	"K00248"
"20_GL0075961"	"K11263"
"20_GL0075963"	"K01966"
"20_GL0075964"	"K05606"
"20_GL0076666"	"K01962;K01963"
"20_GL0077696"	"K00925"
"20_GL0077841"	"K00248"
"20_GL0078437"	"K00169"
"20_GL0078616"	"K00626"
"20_GL0078970"	"K01962;K01963"
"20_GL0079513"	"K00823"
"20_GL0086411"	"K15024"
"20_GL0089372"	"K01961"
"20_GL0089582"	"K01895"
"20_GL0089692"	"K00382"
"20_GL0092842"	"K01692"
"20_GL0092915"	"K00016"
"20_GL0093934"	"K00248"
"20_GL0094760"	"K02160"
"20_GL0094915"	"K00625"
"20_GL0095327"	"K01962"
"20_GL0096035"	"K00172"
"20_GL0096036"	"K00169"
"20_GL0096758"	"K01734"
"20_GL0098510"	"K00656"
"20_GL0098545"	"K01692"
"20_GL0099725"	"K00248"
"20_GL0100109"	"K01026"
"20_GL0100378"	"K15024"
"20_GL0100483"	"K00823"
"20_GL0100686"	"K01962;K01963"
"20_GL0101110"	"K00656"
"20_GL0101113"	"K01962;K01963"
"20_GL0102166"	"K00625"
"20_GL0102167"	"K00925"
"20_GL0102213"	"K00626"
"20_GL0103252"	"K00625"
"20_GL0105218"	"K00248"
"20_GL0105290"	"K00382"
"20_GL0105375"	"K00048"
"20_GL0106359"	"K00140"
"20_GL0106480"	"K00248"
"20_GL0106521"	"K00248"
"20_GL0107577"	"K02160"
"20_GL0108337"	"K00016"
"20_GL0109495"	"K00925"
"20_GL0109558"	"K01734"
"20_GL0109634"	"K00656"
"20_GL0110072"	"K01026"
"20_GL0110386"	"K01034"
"20_GL0111215"	"K00382"
"20_GL0111466"	"K00925"
"20_GL0112225"	"K00169"
"20_GL0112688"	"K00625"
"20_GL0113659"	"K00925"
"20_GL0113797"	"K00656"
"20_GL0113808"	"K15024"
"20_GL0113859"	"K00169"
"20_GL0115151"	"K01895"
"20_GL0115813"	"K00248"
"20_GL0118597"	"K00656"
"20_GL0118917"	"K00248"
"20_GL0119721"	"K00172"
"20_GL0119828"	"K00169"
"20_GL0123259"	"K01962;K01963"
"20_GL0124087"	"K01895"
"20_GL0126120"	"K02160"
"20_GL0126121"	"K01961"
"20_GL0126502"	"K00626"
"20_GL0126610"	"K00626"
"20_GL0127887"	"K01963"
"20_GL0127888"	"K01962"
"20_GL0128094"	"K01034"
"20_GL0128096"	"K00626"
"20_GL0128751"	"K15024"
"20_GL0129100"	"K00248"
"20_GL0130246"	"K00172"
"20_GL0130248"	"K00169"
"20_GL0130249"	"K00170"
"20_GL0130728"	"K00086"
"20_GL0135012"	"K00626"
"20_GL0135474"	"K01734"
"20_GL0135484"	"K11381"
"20_GL0137978"	"K01026"
"20_GL0138757"	"K00248"
"20_GL0138760"	"K00626"
"20_GL0141242"	"K00626"
"20_GL0141622"	"K01966"
"20_GL0142158"	"K00925"
"20_GL0144796"	"K00656"
"20_GL0145210"	"K01699"
"20_GL0145494"	"K00625"
"20_GL0145553"	"K01692"
"20_GL0146021"	"K01692"
"20_GL0147439"	"K00925;K15024"
"20_GL0148863"	"K00170"
"20_GL0148928"	"K00016"
"20_GL0149505"	"K13922"
"20_GL0149511"	"K15024"
"20_GL0151640"	"K00382"
"20_GL0152329"	"K15024"
"20_GL0153514"	"K01966"
"20_GL0155858"	"K00048"
"20_GL0156363"	"K00656"
"20_GL0157123"	"K01962"
"20_GL0157247"	"K01026"
"20_GL0162831"	"K01692"
"20_GL0163626"	"K00626"
"20_GL0163743"	"K00656"
"20_GL0164043"	"K01734"
"20_GL0165229"	"K00925"
"20_GL0165230"	"K00625"
"20_GL0165598"	"K00656"
"20_GL0165849"	"K02160"
"20_GL0166195"	"K00172"
"20_GL0166196"	"K00171"
"20_GL0166197"	"K00169"
"20_GL0166198"	"K00170"
"20_GL0167584"	"K00248"
"20_GL0168331"	"K00016"
"20_GL0169331"	"K00925"
"20_GL0172206"	"K01962;K01963"
"20_GL0173081"	"K00823"
"20_GL0173791"	"K15024"
"20_GL0176619"	"K00626"
"20_GL0177932"	"K11263"
"20_GL0177934"	"K01966"
"20_GL0179466"	"K00925"
"20_GL0179485"	"K00248"
"21_GL0013258"	"K05606"
"21_GL0019704"	"K01734"
"21_GL0029166"	"K00656"
"21_GL0062769"	"K13922"
"21_GL0067645"	"K00382"
"21_GL0082199"	"K00626"
"21_GL0084111"	"K01966"
"21_GL0089047"	"K00248"
"21_GL0089575"	"K01962"
"21_GL0099116"	"K00656"
"21_GL0100014"	"K00925"
"21_GL0100236"	"K00626"
"22_GL0001523"	"K00656"
"22_GL0006068"	"K01962;K01963"
"22_GL0006069"	"K01961"
"22_GL0015944"	"K11263"
"22_GL0016064"	"K01895"
"22_GL0020006"	"K01966"
"22_GL0023740"	"K02160"
"22_GL0039069"	"K00016"
"22_GL0052932"	"K00925"
"22_GL0066467"	"K01966"
"22_GL0072148"	"K00656"
"22_GL0083630"	"K00248"
"22_GL0086575"	"K01903"
"22_GL0094417"	"K01847"
"22_GL0100630"	"K01966"
"22_GL0100769"	"K01895"
"22_GL0101542"	"K01903"
"22_GL0101580"	"K01961"
"22_GL0103064"	"K00169"
"22_GL0103066"	"K00172"
"22_GL0103547"	"K01961"
"22_GL0106138"	"K00625"
"22_GL0108470"	"K00656"
"22_GL0111751"	"K00656"
"22_GL0114948"	"K00625"
"22_GL0118043"	"K13922"
"22_GL0119543"	"K01962;K01963"
"22_GL0122223"	"K00925"
"23_GL0000579"	"K01895"
"23_GL0000661"	"K00925"
"23_GL0003087"	"K00625"
"23_GL0004385"	"K01962"
"23_GL0010050"	"K00626"
"23_GL0012049"	"K00656"
"23_GL0017146"	"K00625"
"23_GL0018920"	"K01962;K01963"
"23_GL0019767"	"K00925"
"23_GL0020083"	"K00656"
"23_GL0021690"	"K00656"
"23_GL0024603"	"K00016"
"23_GL0024615"	"K00005"
"23_GL0024692"	"K00086"
"23_GL0025211"	"K01966"
"23_GL0025265"	"K01720"
"23_GL0026306"	"K00248"
"23_GL0026721"	"K01895"
"23_GL0027278"	"K05606"
"23_GL0028594"	"K00656"
"23_GL0028642"	"K00382"
"23_GL0030079"	"K00925"
"23_GL0031874"	"K01963"
"23_GL0035812"	"K00656"
"23_GL0035905"	"K01961"
"23_GL0039533"	"K00005"
"23_GL0039703"	"K01734"
"23_GL0040722"	"K13922"
"23_GL0041023"	"K01962;K01963"
"23_GL0041036"	"K01966"
"23_GL0043126"	"K00656"
"23_GL0043128"	"K00656"
"23_GL0043779"	"K00248"
"23_GL0047296"	"K01962;K01963"
"23_GL0047449"	"K00925"
"23_GL0051558"	"K00086"
"23_GL0053301"	"K15024"
"23_GL0054336"	"K00248"
"23_GL0057554"	"K00626"
"23_GL0058775"	"K00170"
"23_GL0058810"	"K00248"
"23_GL0059027"	"K00656"
"23_GL0060710"	"K00625"
"23_GL0061247"	"K00656"
"23_GL0062970"	"K13788"
"23_GL0063143"	"K01895"
"23_GL0063313"	"K01895"
"23_GL0063972"	"K00925"
"23_GL0066429"	"K00248"
"23_GL0066520"	"K01734"
"23_GL0067227"	"K00172"
"23_GL0067228"	"K00171"
"23_GL0067229"	"K00169"
"23_GL0067574"	"K00656"
"23_GL0068342"	"K01966"
"23_GL0069781"	"K00656"
"23_GL0070259"	"K13922"
"23_GL0072032"	"K00382"
"23_GL0074846"	"K01847"
"23_GL0075273"	"K00925"
"23_GL0077631"	"K01966"
"23_GL0077900"	"K00170"
"23_GL0079452"	"K00656"
"23_GL0082351"	"K00656"
"23_GL0083225"	"K00656"
"23_GL0084869"	"K02160"
"23_GL0087328"	"K01026"
"23_GL0087670"	"K01962;K01963"
"23_GL0088300"	"K01903"
"23_GL0088301"	"K01902"
"23_GL0090257"	"K13922"
"23_GL0090375"	"K00248"
"23_GL0091603"	"K00656"
"23_GL0091805"	"K13922"
"23_GL0092410"	"K00170"
"23_GL0093337"	"K01966"
"23_GL0096917"	"K00925"
"23_GL0098402"	"K00656"
"23_GL0099075"	"K01903"
"23_GL0100215"	"K00248"
"23_GL0100229"	"K01966"
"23_GL0100275"	"K09788"
"23_GL0107257"	"K00656"
"23_GL0108661"	"K01962;K01963"
"23_GL0108787"	"K05606"
"23_GL0109521"	"K00626"
"23_GL0110049"	"K00656"
"23_GL0110250"	"K00625"
"23_GL0112220"	"K00382"
"23_GL0113591"	"K00016"
"23_GL0114856"	"K00169"
"23_GL0115933"	"K01961"
"23_GL0118441"	"K01962;K01963"
"23_GL0121228"	"K00625"
"23_GL0121583"	"K00656"
"23_GL0122249"	"K00925"
"23_GL0123623"	"K00656"
"23_GL0123846"	"K01962"
"23_GL0124985"	"K01961"
"23_GL0126333"	"K00248"
"23_GL0127135"	"K00248"
"23_GL0128076"	"K00248"
"23_GL0133087"	"K00170"
"23_GL0134388"	"K00382"
"23_GL0135395"	"K01966"
"23_GL0136491"	"K00656"
"23_GL0139744"	"K01734"
"23_GL0141360"	"K00626"
"23_GL0141765"	"K13922"
"23_GL0144155"	"K00086"
"23_GL0144429"	"K05606"
"23_GL0147647"	"K01961"
"23_GL0147648"	"K01963"
"23_GL0148697"	"K01966"
"24_GL0002553"	"K01734"
"24_GL0004282"	"K00016"
"24_GL0006570"	"K00925"
"24_GL0006992"	"K00626"
"24_GL0006995"	"K00248"
"24_GL0007068"	"K01966"
"24_GL0007335"	"K00925"
"24_GL0008884"	"K01026"
"24_GL0011351"	"K00656"
"24_GL0013554"	"K01692"
"24_GL0013596"	"K00625"
"24_GL0013597"	"K00625"
"24_GL0013598"	"K00925"
"24_GL0013599"	"K00925"
"24_GL0017447"	"K01895"
"24_GL0018475"	"K00248"
"24_GL0018480"	"K00248"
"24_GL0024097"	"K00656"
"24_GL0024098"	"K00656"
"24_GL0024867"	"K00656"
"24_GL0024868"	"K00656"
"24_GL0028174"	"K00086"
"24_GL0028889"	"K15024"
"24_GL0028896"	"K13922"
"24_GL0028903"	"K00656"
"24_GL0028904"	"K00656"
"24_GL0030591"	"K00625"
"24_GL0030973"	"K00656"
"24_GL0034287"	"K01966"
"24_GL0034326"	"K01692"
"24_GL0036433"	"K00925"
"24_GL0036496"	"K01962;K01963"
"24_GL0036497"	"K01961"
"24_GL0036500"	"K02160"
"24_GL0037239"	"K00382"
"24_GL0042196"	"K01734"
"24_GL0043680"	"K01734"
"24_GL0045886"	"K01961"
"24_GL0045887"	"K01962;K01963"
"24_GL0045888"	"K01962;K01963"
"24_GL0053508"	"K00382"
"24_GL0054215"	"K01720"
"24_GL0055232"	"K00170"
"24_GL0055594"	"K00625"
"24_GL0057391"	"K00016"
"24_GL0062322"	"K00656"
"24_GL0067973"	"K00656"
"24_GL0068378"	"K00925"
"24_GL0068381"	"K13788"
"24_GL0070306"	"K00382"
"24_GL0078729"	"K00086"
"24_GL0078730"	"K00086"
"24_GL0087121"	"K00925"
"24_GL0089499"	"K01961"
"24_GL0089545"	"K00656"
"24_GL0089546"	"K00656"
"24_GL0090512"	"K00625"
"24_GL0093124"	"K00169"
"24_GL0093125"	"K00171"
"24_GL0093127"	"K00172"
"24_GL0099913"	"K00656"
"24_GL0101315"	"K09788"
"24_GL0101427"	"K00016"
"24_GL0104213"	"K00656"
"24_GL0104214"	"K00656"
"24_GL0108705"	"K00656"
"24_GL0109006"	"K00626"
"24_GL0109280"	"K00382"
"24_GL0111023"	"K00656"
"24_GL0111048"	"K05606"
"24_GL0115045"	"K00626"
"24_GL0118704"	"K09788"
"24_GL0119317"	"K00625"
"24_GL0119396"	"K00656"
"24_GL0120351"	"K13922"
"24_GL0131246"	"K01734"
"24_GL0131378"	"K00005"
"24_GL0131379"	"K00005"
"24_GL0134485"	"K00626"
"24_GL0141513"	"K00656"
"25_GL0005475"	"K05606"
"25_GL0015611"	"K01966"
"25_GL0037160"	"K00925"
"25_GL0037667"	"K00248"
"25_GL0043153"	"K00169"
"25_GL0048655"	"K00656"
"25_GL0053797"	"K00169"
"25_GL0054828"	"K00925"
"25_GL0064170"	"K00656"
"25_GL0081762"	"K01966"
"25_GL0082119"	"K00086"
"25_GL0085999"	"K01847"
"25_GL0089153"	"K01962"
"25_GL0090803"	"K00656"
"26_GL0001433"	"K00382"
"26_GL0004646"	"K00925"
"26_GL0006408"	"K01962"
"26_GL0006616"	"K01961"
"26_GL0007286"	"K00625"
"26_GL0008936"	"K01026"
"26_GL0008996"	"K01961"
"26_GL0009471"	"K00382"
"26_GL0010795"	"K00248"
"26_GL0013497"	"K00925"
"26_GL0016944"	"K01961"
"26_GL0018194"	"K01026"
"26_GL0018195"	"K00626"
"26_GL0019897"	"K00005"
"26_GL0021840"	"K00626"
"26_GL0024002"	"K00382"
"26_GL0025635"	"K01966"
"26_GL0026162"	"K00656"
"26_GL0026363"	"K00626"
"26_GL0027181"	"K00016"
"26_GL0032827"	"K00626"
"26_GL0034001"	"K00656"
"26_GL0034944"	"K00625"
"26_GL0036033"	"K05606"
"26_GL0041047"	"K09699"
"26_GL0042108"	"K00925"
"26_GL0042689"	"K00005"
"26_GL0045731"	"K15024"
"26_GL0046724"	"K01966"
"26_GL0047383"	"K00382"
"26_GL0047537"	"K15024"
"26_GL0051931"	"K01734"
"26_GL0052562"	"K01963"
"26_GL0052563"	"K01961"
"26_GL0054270"	"K13922"
"26_GL0057161"	"K01895"
"26_GL0058303"	"K00140"
"26_GL0060116"	"K00172"
"26_GL0060117"	"K00171"
"26_GL0061267"	"K02160"
"26_GL0063714"	"K00086"
"26_GL0064413"	"K00166"
"26_GL0064414"	"K00167"
"26_GL0067160"	"K00086"
"26_GL0069060"	"K00656"
"26_GL0071512"	"K01966"
"26_GL0071971"	"K01961"
"26_GL0073459"	"K00140"
"26_GL0075318"	"K00625"
"26_GL0076881"	"K01895"
"26_GL0081457"	"K01966"
"26_GL0081581"	"K00169"
"26_GL0081778"	"K01962;K01963"
"26_GL0082211"	"K00656"
"26_GL0083731"	"K00016"
"26_GL0084891"	"K00656"
"26_GL0085282"	"K00626"
"26_GL0085285"	"K00625"
"26_GL0086001"	"K00656"
"26_GL0088096"	"K00005"
"26_GL0088557"	"K01734"
"26_GL0090408"	"K00656"
"26_GL0093258"	"K00170"
"26_GL0094587"	"K01734"
"26_GL0099280"	"K01961"
"26_GL0099281"	"K01962;K01963"
"26_GL0101621"	"K00169"
"26_GL0101878"	"K00171"
"26_GL0104564"	"K00170"
"26_GL0105483"	"K00625"
"26_GL0107405"	"K07250"
"26_GL0108145"	"K01734"
"26_GL0108329"	"K01966"
"26_GL0110860"	"K00248"
"26_GL0111877"	"K00170"
"26_GL0113056"	"K00382"
"26_GL0115320"	"K02160"
"26_GL0115689"	"K02160"
"26_GL0115759"	"K00656"
"26_GL0116833"	"K05606"
"26_GL0118651"	"K00248"
"26_GL0120348"	"K13922"
"26_GL0121100"	"K00248"
"26_GL0122369"	"K00382"
"26_GL0122370"	"K00166"
"26_GL0122429"	"K01895"
"26_GL0124909"	"K01963"
"26_GL0125553"	"K01962"
"26_GL0125721"	"K15024"
"26_GL0129423"	"K00626"
"26_GL0129491"	"K00925"
"26_GL0130533"	"K00086"
"26_GL0131089"	"K02160"
"26_GL0131103"	"K01903"
"26_GL0131104"	"K01902"
"26_GL0131108"	"K00656"
"26_GL0131837"	"K02160"
"26_GL0134691"	"K01895"
"26_GL0135581"	"K00625"
"26_GL0135582"	"K00925"
"26_GL0139805"	"K00382"
"26_GL0141634"	"K00016"
"26_GL0141942"	"K13788"
"26_GL0143391"	"K00140"
"26_GL0143573"	"K13922"
"26_GL0146175"	"K11381"
"26_GL0146285"	"K11381"
"27_GL0004517"	"K00626"
"27_GL0005425"	"K01966"
"27_GL0009539"	"K00382"
"27_GL0012382"	"K00382"
"27_GL0013620"	"K00625"
"27_GL0015574"	"K00248"
"27_GL0017497"	"K00925"
"27_GL0018411"	"K00656"
"27_GL0018413"	"K00656"
"27_GL0025158"	"K01847"
"27_GL0033587"	"K00382"
"27_GL0033906"	"K00925"
